               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.023308,            0.010421,           0.0012733,             0.94285,             0.95625,             0.97754,             0.77669,            0.021048,           0.0044678,          0.00050402,            0.008119,            0.008119,            0.008119
                  59,            0.022372,            0.010464,          0.00083124,              0.9727,             0.94221,             0.97743,             0.75418,            0.021381,           0.0047418,          0.00026194,            0.008086,            0.008086,            0.008086
                  60,            0.022295,            0.010337,          0.00092163,             0.96534,             0.93863,             0.96621,             0.77316,            0.020402,           0.0047772,          0.00047002,            0.008053,            0.008053,            0.008053
                  61,            0.022563,            0.010497,           0.0012073,             0.94005,             0.94211,             0.97005,             0.75305,            0.020456,           0.0047207,          0.00079784,             0.00802,             0.00802,             0.00802
                  62,             0.02311,            0.011145,           0.0015388,             0.93485,             0.93856,             0.97226,             0.76333,            0.020676,           0.0047216,          0.00082649,            0.007987,            0.007987,            0.007987
                  63,            0.021881,            0.010553,          0.00096914,             0.96697,             0.94048,             0.97798,             0.77699,            0.021003,           0.0045376,          0.00071658,            0.007954,            0.007954,            0.007954
                  64,            0.021936,            0.010721,           0.0018354,             0.95086,             0.93902,             0.97809,             0.77104,            0.020005,           0.0045272,          0.00093761,            0.007921,            0.007921,            0.007921
                  65,            0.022107,            0.010675,           0.0012458,             0.95273,             0.91868,             0.97412,              0.7501,            0.019657,           0.0046147,          0.00086761,            0.007888,            0.007888,            0.007888
                  66,            0.021381,            0.010689,           0.0010254,             0.95501,             0.93126,              0.9706,             0.77718,            0.020424,            0.004565,          0.00069755,            0.007855,            0.007855,            0.007855
                  67,            0.021323,            0.010274,           0.0012484,             0.94324,             0.95681,             0.97952,             0.77082,             0.02024,           0.0047141,          0.00035842,            0.007822,            0.007822,            0.007822
                  68,            0.022424,            0.010308,          0.00084545,             0.98731,             0.93714,              0.9815,              0.7743,             0.02118,            0.004564,          0.00063467,            0.007789,            0.007789,            0.007789
                  69,            0.020668,            0.010203,           0.0012899,             0.95765,             0.93594,             0.97659,             0.76984,            0.020313,           0.0047664,          0.00044042,            0.007756,            0.007756,            0.007756
                  70,             0.02151,            0.010489,          0.00076946,             0.97653,             0.93848,             0.98022,             0.79362,            0.020422,           0.0045685,           0.0006393,            0.007723,            0.007723,            0.007723
                  71,            0.020172,            0.010351,           0.0007515,             0.96086,             0.97364,             0.98048,             0.78909,            0.020122,            0.004167,          0.00019817,             0.00769,             0.00769,             0.00769
                  72,            0.021834,            0.010311,           0.0010518,             0.96134,             0.96416,             0.98311,             0.78301,            0.020622,           0.0043444,           0.0002727,            0.007657,            0.007657,            0.007657
                  73,             0.02287,            0.010295,          0.00088474,             0.96609,             0.92033,             0.97511,             0.79699,            0.019791,           0.0043224,            0.000503,            0.007624,            0.007624,            0.007624
                  74,            0.020628,            0.010156,          0.00090887,             0.95502,             0.94915,             0.97529,             0.78606,            0.019157,           0.0045946,          0.00046999,            0.007591,            0.007591,            0.007591
                  75,            0.020422,           0.0099881,          0.00059115,              0.9885,             0.95729,             0.98577,             0.80193,            0.020297,           0.0043391,          0.00041098,            0.007558,            0.007558,            0.007558
                  76,            0.021652,           0.0095238,          0.00057776,             0.97816,             0.92591,             0.98194,             0.76774,            0.021609,           0.0048369,           0.0007042,            0.007525,            0.007525,            0.007525
                  77,            0.021429,            0.010035,           0.0011087,             0.95361,             0.96516,             0.98058,             0.79515,            0.019842,           0.0044557,          0.00035383,            0.007492,            0.007492,            0.007492
